tract,Community_Name,Beds Available,Unsheltered Homeless People,SOD
134002,Winnetka,0,8,-8
134101,Winnetka,0,0,0
134103,Winnetka,0,9,-9
134104,Winnetka,0,3,-3
134201,Canoga Park,0,22,-22
134302,West Hills,0,2,-2
134303,Canoga Park,0,32,-32
134304,Canoga Park,0,1,-1
134305,Canoga Park,0,6,-6
134306,Canoga Park,0,10,-10
134421,West Hills,0,2,-2
134422,West Hills,0,26,-26
134423,West Hills,0,6,-6
134424,West Hills,0,2,-2
134520,Canoga Park,0,36,-36
134521,Canoga Park,0,37,-37
134522,Canoga Park,0,2,-2
134710,Winnetka,0,0,0
134720,Winnetka,0,6,-6
134800,Winnetka,0,3,-3
134901,Tarzana,0,7,-7
134903,Woodland Hills,0,18,-18
134904,Winnetka,0,8,-8
134905,Woodland Hills,0,12,-12
135102,West Hills,0,0,0
135111,Woodland Hills,0,6,-6
135113,Woodland Hills,0,2,-2
135114,Woodland Hills,0,12,-12
135201,West Hills,0,22,-22
135202,West Hills,0,4,-4
135203,West Hills,0,4,-4
137000,Woodland Hills,0,0,0
137103,Woodland Hills,0,5,-5
137104,Woodland Hills,0,3,-3
137201,Woodland Hills,0,1,-1
137301,Woodland Hills,0,1,-1
137302,Woodland Hills,0,6,-6
137401,Woodland Hills,0,3,-3
137402,Woodland Hills,0,7,-7
137501,Woodland Hills,0,5,-5
137502,Woodland Hills,0,11,-11
137504,Woodland Hills,0,0,0
138000,Woodland Hills,0,2,-2
139001,Encino,0,0,0
139200,Encino,0,0,0
139301,Tarzana,0,16,-16
139302,Tarzana,0,4,-4
139303,Tarzana,0,1,-1
139401,Tarzana,0,14,-14
139402,Tarzana,0,18,-18
139502,Encino,0,3,-3
139503,Encino,0,0,0
139504,Encino,0,1,-1
139600,Encino,0,7,-7
139701,Encino,0,9,-9
139702,Encino,0,0,0
139703,Encino,0,3,-3
139801,Tarzana,0,0,0
139802,Tarzana,0,0,0
141101,Sherman Oaks,0,0,0
141102,Sherman Oaks,0,1,-1
141201,Sherman Oaks,0,16,-16
141202,Sherman Oaks,0,1,-1
141302,Sherman Oaks,0,7,-7
141303,Sherman Oaks,0,3,-3
141304,Sherman Oaks,0,4,-4
141400,Encino,0,12,-12
141500,Encino,0,0,0
141600,Sherman Oaks,0,0,0
141700,Sherman Oaks,0,0,0
143100,North Hollywood,0,14,-14
143200,Studio City,0,10,-10
143300,Studio City,0,11,-11
143400,Studio City,0,8,-8
143500,Studio City,0,1,-1
143602,Studio City,0,6,-6
143603,Studio City,0,8,-8
143604,Studio City,0,23,-23
143700,Hollywood Hills West,0,28,-28
143800,Studio City,0,0,0
143901,Studio City,0,8,-8
143902,Studio City,0,4,-4
181000,Eagle Rock,0,39,-39
181300,Eagle Rock,0,24,-24
181400,Eagle Rock,0,27,-27
181500,Eagle Rock,0,10,-10
181600,Eagle Rock,0,4,-4
183101,Highland Park,0,20,-20
183103,Highland Park,0,1,-1
183104,Highland Park,0,2,-2
183220,Highland Park,0,0,0
183221,Highland Park,0,0,0
183222,Highland Park,0,4,-4
183300,Highland Park,0,8,-8
183401,Highland Park,0,14,-14
183402,Eagle Rock,0,19,-19
183510,Highland Park,0,18,-18
183520,Highland Park,0,13,-13
183610,Highland Park,0,23,-23
183620,Highland Park,0,5,-5
183701,Highland Park,0,37,-37
183702,Eagle Rock,0,6,-6
183810,Highland Park,0,6,-6
183820,Highland Park,0,14,-14
185100,Eagle Rock,0,39,-39
185202,Eagle Rock,0,15,-15
185203,Cypress Park,0,22,-22
185204,Cypress Park,0,19,-19
185310,Cypress Park,0,5,-5
185320,Cypress Park,0,12,-12
186100,Glassell Park,0,10,-10
186201,Eagle Rock,0,9,-9
186202,Eagle Rock,0,24,-24
186203,Eagle Rock,0,17,-17
186301,Glassell Park,0,3,-3
186302,Glassell Park,0,17,-17
186401,Glassell Park,0,19,-19
186403,Glassell Park,0,38,-38
186404,Glassell Park,0,14,-14
187101,Atwater Village,0,14,-14
187102,Atwater Village,0,18,-18
187200,Elysian Valley,0,14,-14
187300,Silver Lake,0,19,-19
188100,Atwater Village,0,38,-38
188201,Los Feliz,0,5,-5
188202,Los Feliz,0,3,-3
188300,Atwater Village,0,6,-6
189101,Los Feliz,0,8,-8
189102,Los Feliz,0,5,-5
189201,Los Feliz,0,19,-19
189202,Los Feliz,0,4,-4
189300,Hollywood,0,2,-2
189400,Hollywood,12,11,1
189500,Hollywood,0,3,-3
189600,Hollywood,0,24,-24
189701,Hollywood,0,10,-10
189702,Hollywood Hills West,0,12,-12
189800,Hollywood Hills West,0,11,-11
189902,Hollywood Hills West,0,10,-10
189903,Hollywood Hills West,0,3,-3
189904,Hollywood Hills West,0,13,-13
189905,Hollywood Hills West,0,19,-19
190100,Hollywood,0,36,-36
190201,Hollywood Hills West,8,17,-9
190202,Hollywood Hills West,0,38,-38
190301,Hollywood,10,6,4
190401,Los Feliz,0,5,-5
190402,Los Feliz,0,7,-7
190510,Hollywood,0,11,-11
190520,Hollywood,0,2,-2
190700,Hollywood,46,83,-37
190801,Hollywood,0,139,-139
190802,Hollywood,0,38,-38
190901,Hollywood,114,71,43
190902,Hollywood,0,28,-28
191000,Hollywood,83,52,31
191110,Hollywood,0,24,-24
191120,Hollywood,0,22,-22
191201,Hollywood,0,30,-30
191203,Hollywood,0,25,-25
191204,Hollywood,0,7,-7
191301,Hollywood,10,51,-41
191302,Hollywood,0,24,-24
191410,Hollywood,0,12,-12
191420,Hollywood,0,6,-6
191500,Hollywood,0,17,-17
191610,Hollywood,0,79,-79
191620,Hollywood,0,39,-39
191710,Hollywood,0,13,-13
191720,Hollywood,0,7,-7
191810,Hollywood,0,49,-49
191820,Hollywood,0,44,-44
191901,Hollywood,16,55,-39
191902,Miracle Mile,0,25,-25
192001,Mid-City West,0,19,-19
192002,Mid-City West,0,19,-19
192300,Miracle Mile,0,5,-5
192410,Miracle Mile,0,4,-4
